"HUNDENAME","GEBURTSJAHR_HUND","GESCHLECHT_HUND"
"Aira",2009,"w"
"Airon",2010,"m"
"Aischa",2008,"w"
"Aisha",2008,"w"
"Aisha",2012,"w"
"Aisha",2012,"w"
"Aisha",2016,"w"
"Aisha",2018,"w"
"Aisha",2013,"w"
"Aisha Gracia Hondje",2017,"w"
"Aisha Kianga",2012,"w"
"Aja",2017,"w"
"Ajana",2015,"w"
"Ajana Kiburi awali",2020,"w"
"Ajani",2014,"m"
"Ajla",2013,"w"
"Akando-Abucco v. Ritters Glück",2014,"m"
"Akash von Marithos am See",2020,"m"
"Akela Sugar Dogs v. Donaugart.",2016,"w"
"Aki",2010,"m"
"Akido",2010,"m"
"Akina",2014,"w"
"Akio",2020,"m"
"Akira",2018,"w"
"Akira",2019,"w"
"Akira",2019,"w"
"Akira",2019,"w"
"Akira",2018,"w"
"Akira",2020,"w"
"Akira",2015,"w"
"Akira",2015,"w"
"Akira-Vidi",2015,"w"
"Akita",2015,"w"
"Akita",2012,"w"
"Akita",2015,"w"
"Akoni",2020,"m"
"Akosambo's Black Massai Ulani",2012,"w"
"Akuma",2012,"w"
"Akuna fidelis anima",2013,"w"
"Akura Arnie Kimbo",2020,"m"
"Aky",2013,"m"
"Ala",2014,"m"
"Aladdin",2020,"m"
"Aladim",2018,"m"
"Alan",2009,"m"
"Alan",2016,"m"
"Alaska",2017,"w"
"Alaya",2020,"w"
"Alba",2010,"w"
"Albert",2019,"m"
"Albert",2008,"m"
"Albus Dumbledore (Tiago)",2019,"m"
"Ale Coco",2010,"w"
"Alebrije",2009,"m"
"Alegria",2011,"w"
"Alejandra",2016,"w"
"Alek",2014,"m"
"Alessio",2015,"m"
"Alex",2017,"m"
"Alex",2006,"m"
"Alex",2012,"m"
"Alex (Astor)",2018,"m"
"Alex (Loke)",2018,"m"
"Alex von Sareni",2011,"m"
"Alexa vom Kuhberg",2018,"w"
"Aleyna vom Mäderl-Haus",2020,"w"
"Alf Udo de Soleure",2020,"m"
"Alf-Kubilay",2017,"m"
"Alfa- Shanti  Lee",2019,"w"
"Alfie",2019,"m"
"Alfie",2020,"m"
"Alfie",2020,"m"
"Alfie",2009,"m"
"Alfred",2020,"m"
"Alfredo",2020,"m"
"Algarvio (Casa Rastys Amigo)",2014,"m"
"Ali",2017,"m"
"Ali (Ally)",2016,"w"
"Aliah",2012,"w"
"Alice",2009,"w"
"Alice",2010,"w"
"Alice",2016,"w"
"Alice",2017,"w"
"Alicia",2015,"w"
"Alin",2010,"w"
"Alina",2011,"w"
"Aline",2010,"w"
"Alinghi",2009,"w"
"Alino",2006,"w"
"Alisa Zola",2017,"w"
"Alisha",2014,"w"
"Alisha",2013,"w"
"Alisha v. Sertel",2010,"w"
"Alisia (Rosa)",2016,"w"
"Alita",2014,"w"
"Aliz",2020,"w"
"Aljoscha",2013,"m"
"All for Me of Castlefield",2020,"m"
"Allegra",2010,"w"
"Allegra",2013,"w"
"Allegra vom Seedorf",2016,"w"
"Alles Liebe Ava mein Rheingold",2017,"w"
"Allumette",2016,"m"
"Ally",2015,"w"
"Ally",2018,"w"
"Alma",2008,"w"
"Alma",2020,"w"
"Alma",2013,"w"
"Alma (Sanel)",2012,"w"
"Aloha",2018,"m"
"Alou",2018,"m"
"Alpha",2005,"m"
"Alpha",2011,"w"
"Alpha",2020,"w"
"Alpha",2019,"m"
"Alpha",2011,"w"
"Alvaro of Nibea's",2018,"m"
"Alvin",2011,"m"
"Alvin (Aramis) Bully",2016,"m"
"Alwa",2020,"w"
"Alwin Chamvik",2014,"m"
"Aly von den Sarazenentürmen",2012,"m"
"Ama",2013,"w"
"Amadeus",2017,"m"
"Amalya",2015,"w"
"Amandob's Lady Arya",2015,"w"
"Amar",2019,"m"
"Amar",2014,"m"
"Amara",2020,"w"
"Amaretto",2011,"m"
"Amarone",2018,"m"
"Amaru",2016,"m"
"Amaya",2013,"w"
"Ambeer",2018,"m"
"Amber",2020,"w"
"Amber",2020,"w"
"Amber",2013,"w"
"Amber",2016,"w"
"Amber",2013,"w"
"Amber (Peggy)",2013,"w"
"Ambra",2019,"w"
"Ambra (Lady)",2013,"w"
"Amelia",2012,"w"
"Amelia's Angels Your Love Is D",2020,"m"
"Amelie",2017,"w"
"Amelie",2016,"w"
"Amelie (Anneli)",2006,"w"
"Amia (Thaikru)",2006,"w"
"Amica-Amy",2019,"w"
"Amico",2016,"m"
"Amie",2004,"w"
"Amigo",2008,"m"
"Amigo",2011,"m"
"Amigo",2018,"m"
"Amigo",2011,"m"
"Amina",2005,"w"
"Amina",2012,"w"
"Amira",2009,"w"
"Amira",2010,"w"
"Amira",2009,"w"
"Amira",2013,"w"
"Amira",2018,"w"
"Amira",2014,"w"
"Amira",2014,"w"
"Amiro",2011,"m"
"Amiya",2020,"w"
"Ammu (Prinza)",2016,"w"
"Amo (Zorro)",2011,"m"
"Amor",2014,"m"
"Amor",2009,"m"
"Amor",2017,"w"
"Amor",2011,"m"
"Amora",2012,"w"
"Amore",2010,"w"
"Amore mio",2010,"m"
"Amos",2012,"m"
"Amos",2015,"m"
"Amos",2016,"m"
"Amos",2017,"m"
"Amos (Strolchi)",2006,"m"
"Amour",2012,"m"
"Amour",2010,"m"
"Amun",2013,"m"
"Amur",2020,"m"
"Amy",2010,"w"
"Amy",2015,"w"
"Amy",2019,"w"
"Amy",2020,"w"
"Amy",2020,"w"
"Amy",2020,"w"
"Amy",2014,"w"
"Amy",2015,"w"
"Amy",2018,"w"
"Amy",2020,"w"
"Amy",2017,"w"
"Amy",2017,"w"
"Amy",2020,"w"
"Amy",2015,"w"
"Amy",2008,"w"
"Amy",2010,"w"
"Amy",2011,"w"
"Amy (Skyligth of Sherry Lane)",2020,"w"
"Amy Butterfly",2017,"w"
"Amélie",2011,"w"
"Amélie-Milly",2017,"w"
"Anakin Skywalker von Glönigen",2019,"m"
"Andora",2004,"w"
"Andy",2005,"m"
"Andy",2016,"m"
"Ane",2010,"w"
"Angel",2016,"w"
"Angel",2006,"w"
"Angel",2016,"w"
"Angel",2019,"w"
"Angel (Sisi)",2015,"w"
"Angel Anahera",2020,"m"
"Angel Face",2013,"w"
"Angel von Matterand",2011,"m"
"Angela",2020,"w"
"Angelo vom Moorsbachtal",2020,"m"
"Angi",2017,"w"
"Angie",2014,"w"
"Angu",2020,"m"
"Angus (Rowan)",2015,"m"
"Angélina",2013,"w"
"Anik",2013,"w"
"Anika",2011,"w"
"Anjo",2014,"m"
"Anjo",2015,"m"
"Anna",2008,"w"
"Anna",2015,"w"
"Anna",2013,"w"
"Anna (chilchil v Montfortwald)",2016,"w"
"Annapurna",2011,"w"
"Anne Grace",2020,"w"
"Annuk",2018,"m"
"Anny",2016,"w"
"Anouk",2019,"w"
"Anouk",2017,"w"
"Anouk",2014,"w"
"Anouk",2020,"w"
"Anouk (Quanti)",2013,"w"
"Anouk vom Leukergrund",2012,"w"
"Anthony ""Lilo""",2015,"m"
"Anton",2018,"m"
"Anton Otto",2016,"m"
"Antonia",2010,"w"
"Api",2017,"w"
"Apollo (Fläckli)",2016,"m"
"April",2018,"w"
"Apu",2012,"m"
"Arabeska",2013,"w"
"Aragon",2010,"m"
"Aragon",2018,"m"
"Aragon of Shining Star",2015,"m"
"Aragorn King HUSFELLOW",2020,"m"
"Aramir",2019,"m"
"Aramis",2016,"m"
"Aramis",2018,"m"
"Aramis",2020,"m"
"Aramis-Gaston",2017,"m"
"Arany Joy",2020,"m"
"Aras",2020,"m"
"Araya vom Tannzapfenland",2015,"w"
"Arbataxa vom Huggerwald",2016,"w"
"Archichoups",2020,"m"
"Archie",2020,"m"
"Archie",2019,"m"
"Archie",2018,"m"
"Archie",2019,"m"
"Archor's Surprise Kimiko",2013,"w"
"Arco",2017,"m"
"Arco",2019,"m"
"Arco",2007,"m"
"Ardey Kahlo vom Kermelberg",2020,"w"
"Ares",2014,"m"
"Ares",2004,"m"
"Ares",2011,"m"
"Ares",2019,"m"
"Ares",2020,"m"
"Ares",2020,"m"
"Ares (Bianco of Sunset)",2018,"m"
"Argo",2017,"m"
"Argo",2013,"m"
"Argo",2014,"m"
"Argo",2013,"m"
"Argo vom Buechlisberg",2012,"m"
"Arguitos",2014,"m"
"Ari",2014,"m"
"Ari",2010,"m"
"Ari",2010,"w"
"Aria",2017,"w"
"Aria",2019,"w"
"Aria",2020,"w"
"Aria",2020,"w"
"Aria",2018,"w"
"Aria Annaperla",2020,"w"
"Ariel",2018,"w"
"Ariel (Paperlapap's Joker)",2017,"m"
"Arilla",2015,"w"
"Aris",2020,"m"
"Aris",2017,"m"
"Aris von Isafan",2020,"m"
"Aris-Rainer",2017,"m"
"Arista",2019,"w"
"Aristo",2010,"m"
"Arka",2006,"w"
"Arkas",2011,"m"
"Arko",2016,"m"
"Arko",2015,"m"
"Arktis (Avik of Jakutsk)",2007,"m"
"Arlo",2015,"m"
"Arlo",2008,"m"
"Armani",2014,"m"
"Armani",2016,"m"
"Armani Pannonia Pearl",2019,"m"
"Armani by Clan Ferona",2016,"m"
"Armani the Limited Edition",2012,"m"
"Arni",2012,"m"
"Aro (Tomba v. Försterhaus)",2015,"m"
"Aron",2012,"m"
"Aron",2010,"m"
"Aron",2015,"m"
"Aron",2016,"m"
"Aron",2018,"m"
"Aron von Paradisli",2007,"m"
"Arsus",2020,"m"
"Artair",2013,"m"
"Artemis",2019,"w"
"Artemis",2010,"w"
"Arthur",2012,"m"
"Arthur",2013,"m"
"Arthur",2009,"m"
"Arti",2017,"m"
"Artic Aivik Dynamic Aruk",2010,"m"
"Artis",2018,"m"
"Arton",2008,"m"
"Artschi",2018,"m"
"Artu",2020,"m"
"Artu",2012,"m"
"Arturo",2019,"m"
"Arturo",2015,"m"
"Artus",2008,"m"
"Artus",2015,"m"
"Artù",2016,"m"
"Aruna",2019,"w"
"Arwen",2019,"w"
"Ary",2014,"m"
"Arya",2016,"w"
"Arya",2014,"w"
"Arya",2020,"w"
"Arya",2019,"w"
"Arya",2018,"w"
"Arya",2018,"w"
"Arya",2018,"w"
"Asco",2010,"m"
"Asco (Aristorrat)",2008,"m"
"Asgard",2020,"m"
"Ash",2020,"m"
"Ash",2019,"m"
"Ashbury Happy Sunshine",2012,"w"
"Ashe",2013,"w"
"Ashok (Alfie)",2020,"m"
"Asimov",2016,"m"
"Aska",2010,"w"
"Aska",2013,"w"
"Askari",2005,"m"
"Askella",2015,"w"
"Askja / Grischa",2020,"w"
"Asla",2010,"w"
"Aslan",2014,"m"
"Aslan Amir",2019,"m"
"Aspel de Jabel",2016,"m"
"Aspen",2019,"w"
"Asslan",2017,"m"
"Asta",2007,"w"
"Asthon",2012,"m"
"Aston",2015,"m"
"Aston Rocky",2014,"m"
"Astor",2018,"m"
"Astor",2016,"m"
"Astrid",2012,"w"
"Astro",2015,"m"
"Atala-Gretchen",2017,"w"
"Atari",2020,"w"
"Atena",2013,"w"
"Atesh",2019,"m"
"Athos",2016,"m"
"Athos",2014,"m"
"Athos Chips",2008,"m"
"Athos Porthos",2016,"m"
"Atila",2011,"w"
"Atina",2016,"w"
"Atlas Buyuni Savuti",2017,"w"
"Atlasz Argo vom Galsersch",2020,"m"
"Atos",2011,"m"
"Atos",2018,"m"
"Atreju (Anpaytoo)",2008,"m"
"Aubrey",2020,"w"
"Audrey",2013,"w"
"Audrey",2008,"w"
"Audrey",2014,"w"
"Auli",2020,"m"
"Aura",2019,"w"
"Aura-Akira",2016,"w"
"Aurel",2016,"m"
"Aurelie",2011,"w"
"Auris",2017,"m"
"Aurora",2020,"w"
"Aurora vom Wyhental",2013,"w"
"Auzzy Zeus Foster",2010,"m"
"Ava",2016,"w"
"Ava",2016,"w"
"Avalon-Joya",2014,"w"
"Avani",2012,"w"
"Avenir Momo",2020,"m"
"Avery",2013,"m"
"Avocado",2018,"m"
"Awa",2020,"w"
"Awa",2018,"w"
"Awanis Ira Leila",2017,"w"
"Axel von Burg Schwärtzenberg",2011,"m"
"Aya",2015,"w"
"Ayala Diva Lucy",2017,"w"
"Ayana",2014,"w"
"Ayana",2012,"w"
"Ayano Adeje",2020,"m"
"Ayco",2011,"m"
"Ayko",2013,"m"
"Ayko v. Goliwil",2017,"m"
"Ayla",2010,"w"
"Ayla",2017,"w"
"Ayla",2019,"w"
"Ayla",2015,"w"
"Ayla",2020,"w"
"Ayla",2017,"w"
"Ayla",2015,"w"
"Ayla Kimi",2020,"w"
"Ayra vom Teckberg",2017,"w"
"Aysha",2019,"w"
"Aysha",2007,"w"
"Aysha (Alya)",2008,"w"
"Ayumi",2016,"w"
"Ayumi",2014,"w"
"Ayur",2013,"m"
"Ayusha vom Maieriesli",2013,"w"
"Azan (Viserion Aglow)",2015,"m"
"Azim",2009,"m"
"Azira vom Mühlibach",2009,"w"
"Azor",2015,"m"
"Azul",2019,"w"
"Azzurra",2012,"w"
"Azzurro",2009,"m"
"Azzy",2012,"w"
"B'Yuki",2020,"w"
"B-Nibiru",2013,"w"
"Babalu",2016,"m"
"Babette",2014,"w"
"Babita",2010,"w"
"Babou",2013,"w"
"Babs",2019,"w"
"Babsy",2019,"w"
"Babu (Udo von Tannenthalbad)",2007,"m"
"Babuschka",2009,"w"
"Baby",2012,"w"
"Baby June",2012,"w"
"Bacardi Bajo",2014,"m"
"Bachata",2006,"w"
"Bado",2011,"m"
"Baffo vom Stägefässli",2020,"m"
"Baffy",2013,"m"
"Bafi vom  Füllern",2009,"w"
"Bagheera",2007,"w"
"Baghira",2019,"w"
"Baghira",2015,"w"
"Baghira",2020,"w"
"Bagira",2013,"w"
"Bagus",2016,"m"
"Bahia Blanca",2006,"w"
"Bahia Joy",2016,"w"
"Baibua",2020,"w"
"Baija",2011,"w"
"Baika",2013,"w"
"Baika (Bossa)",2006,"w"
"Baika fidelis anima",2015,"w"
"Baika vom Forstgut",2020,"w"
"Baiko",2019,"m"
"Baila",2012,"w"
"Baila",2013,"w"
"Bailey",2013,"w"
"Bailey",2005,"w"
"Bailey",2018,"m"
"Bailey",2019,"w"
"Bailey",2020,"m"
"Bailey",2012,"m"
"Bailey",2020,"m"
"Bailey",2016,"w"
"Bailey",2020,"m"
"Bailey",2020,"m"
"Bailey (Joerco)",2010,"m"
"Baileys",2020,"m"
"Baileys",2020,"w"
"Baileys",2011,"m"
"Baileys",2015,"m"
"Baileys Bambi",2011,"w"
"Baily",2006,"m"
"Baira von der Biberfalle",2016,"w"
"Baja",2019,"w"
"Bajah",2017,"w"
"Baju (Steve)",2011,"m"
"Bako",2009,"m"
"Bakonyi-Dròtos Indigo-Rusty",2017,"w"
"Baksik",2010,"m"
"Balduin",2014,"m"
"Baldur",2010,"m"
"Bali",2020,"m"
"Bali",2009,"w"
"Balloo",2014,"w"
"Ballou",2015,"m"
"Bally",2016,"w"
"Bally",2016,"w"
"Baloo",2019,"m"
"Baloo",2017,"m"
"Baloo",2019,"m"
"Baloo",2015,"m"
"Baloo",2010,"m"
"Balosch",1998,"m"
"Balou",2020,"m"
"Balou",2020,"m"
"Balou",2009,"m"
"Balou",2017,"m"
"Balou",2013,"m"
"Balou",2010,"m"
"Balou",2012,"m"
"Balou (Blade)",2018,"m"
"Balou (Dschowo's Julio)",2013,"m"
"Balou v. Kopfrein",2018,"m"
"Balou von Tay Pan",2016,"m"
"Baltic Success Princess Kira",2019,"w"
"Balu",2012,"m"
"Balu",2020,"m"
"Balu",2020,"m"
"Balu",2018,"m"
"Balu",2020,"m"
"Balu",2019,"m"
"Balu",2020,"m"
"Balu",2010,"m"
"Balu",2014,"m"
"Balu",2015,"m"
"Balu",2016,"m"
"Balu",2016,"m"
"Balu",2010,"m"
"Balu",2017,"m"
"Balu",2017,"m"
"Balu",2016,"m"
"Balu",2011,"m"
"Balu",2011,"m"
"Balu",2011,"m"
"Balu",2013,"m"
"Balu",2019,"m"
"Balu",2013,"m"
"Balu",2019,"m"
"Balu",2019,"m"
"Balu",2018,"m"
"Balu",2018,"m"
"Balu",2010,"m"
"Balu",2019,"m"
"Balu",2014,"m"
"Balu (Happy Balu)",2014,"m"
"Balu Milou",2019,"m"
"Balu de Majom",2020,"m"
"Balu vom Chiermerwald",2020,"m"
"Balu vom Försterhaus",2019,"w"
"Baluka",2020,"m"
"Baly (Newton)",2007,"m"
"Balù",2016,"m"
"Bambam",2017,"m"
"Bambi",2019,"m"
"Bambi",2017,"w"
"Bamble Bee (Taiga)",2010,"w"
"Ban",2017,"m"
"Banana",2003,"w"
"Bandit",2007,"m"
"Bandit",2011,"m"
"Bandita",2017,"w"
"Bandita",2009,"w"
"Banga",2012,"m"
"Bantu",2018,"w"
"Barby",2017,"w"
"Barfi",2012,"m"
"Baris-Lesli",2012,"m"
"Barney",2008,"m"
"Barney",2009,"m"
"Barney",2012,"m"
"Barney",2017,"m"
"Barney",2012,"m"
"Barney",2020,"m"
"Baro",2018,"m"
"Baron",2008,"m"
"Baron",2019,"m"
"Baronessa",2012,"w"
"Baronesse",2011,"w"
"Barro",2015,"m"
"Barry aus dem Dudelsack",2011,"m"
"Bartok",2012,"m"
"Basil",2017,"m"
"Basil",2007,"m"
"Basil",2018,"m"
"Basil",2009,"m"
"Basko",2016,"m"
"Basko",2017,"m"
"Baslis Hermes vom Moosacher",2011,"m"
"Bass",2011,"m"
"Baster Lennox",2016,"m"
"Basya-Bella",2015,"w"
"Batman",2013,"m"
"Bato (Ivan)",2017,"m"
"Batuuli",2017,"m"
"Bay",2016,"w"
"Bay",2017,"m"
"Bay",2016,"w"
"Beam",2017,"m"
"Bear",2015,"m"
"Bearly v. Weinhäusel",2013,"w"
"Beatle",2015,"m"
"Beau",2009,"m"
"Beauty",2018,"w"
"Beauté",2012,"w"
"Beba",2017,"w"
"Bebe",2019,"w"
"Becky",2009,"w"
"Bee",2017,"w"
"Beecher (Bitschi)",2020,"w"
"Beemo",2014,"w"
"Beeny",2015,"w"
"Beethoven",2013,"m"
"Beetle (Nebu)",2011,"m"
"Beija",2013,"w"
"Bel",2020,"w"
"Bela",2016,"m"
"Belette",2006,"w"
"Belfi",2014,"m"
"Belina (Belinda)",2020,"w"
"Belinda",2014,"w"
"Belinha",2019,"w"
"Belinha",2011,"w"
"Belisha",2012,"w"
"Belisha vom Sunnebärg",2019,"w"
"Belka",2014,"w"
"Bella",2011,"w"
"Bella",2015,"w"
"Bella",2011,"w"
"Bella",2013,"w"
"Bella",2013,"w"
"Bella",2010,"w"
"Bella",2014,"w"
"Bella",2010,"w"
"Bella",2015,"w"
"Bella",2008,"w"
"Bella",2015,"w"
"Bella",2013,"w"
"Bella",2013,"w"
"Bella",2012,"w"
"Bella",2013,"w"
"Bella",2011,"w"
"Bella",2018,"w"
"Bella",2020,"w"
"Bella",2020,"w"
"Bella",2020,"w"
"Bella",2018,"w"
"Bella",2014,"w"
"Bella",2011,"w"
"Bella",2020,"w"
"Bella",2020,"w"
"Bella",2017,"w"
"Bella",2014,"w"
"Bella",2019,"w"
"Bella",2009,"w"
"Bella",2019,"w"
"Bella",2019,"w"
"Bella",2014,"w"
"Bella",2012,"w"
"Bella",2017,"w"
"Bella",2017,"w"
"Bella",2006,"w"
"Bella",2014,"w"
"Bella (Bubu)",2014,"w"
"Bella Antonia",2018,"w"
"Bellatrix",2020,"w"
"Belle",2019,"w"
"Belle",2017,"w"
"Belle of the Best",2019,"w"
"Belli",2013,"w"
"Bellino",2012,"m"
"Bello",2016,"m"
"Bello",2014,"m"
"Bello",2015,"m"
"Beloved Milo",2020,"m"
"Beloved Rascy",2012,"m"
"Beluga",2012,"w"
"Ben",2014,"m"
"Ben",2012,"m"
"Ben",2017,"m"
"Bengale",2010,"w"
"Beni",2009,"m"
"Benito",2012,"m"
"Benja",2009,"w"
"Benjamin",2012,"m"
"Benji",2011,"m"
"Benji",2011,"m"
"Benji",2013,"m"
"Benji",2015,"m"
"Benji",2015,"m"
"Benji",2010,"m"
"Benji",2006,"m"
"Benji",2018,"m"
"Benji",2018,"m"
"Benji",2020,"m"
"Benji",2020,"m"
"Benji",2020,"m"
"Benji  (Boucuk)",2006,"m"
"Benji (Baladeva)",2008,"m"
"Benjy",2014,"m"
"Benn",2013,"m"
"Benno",2014,"m"
"Benno",2012,"m"
"Benno",2012,"m"
"Benno",2009,"m"
"Benny",2020,"m"
"Benny",2019,"m"
"Benny",2012,"m"
"Benschi",2016,"m"
"Benschi",2009,"w"
"Benschj",2020,"m"
"Bensons (Shorty)",2018,"m"
"Bentley",2017,"m"
"Bentley (Mozquito)",2008,"m"
"Bento",2016,"m"
"Benton",2015,"m"
"Beny",2006,"m"
"Beny",2013,"w"
"Beppo",2015,"m"
"Beppo",2008,"m"
"Berenice v. Happy Morning Star",2008,"w"
"Bernie",2018,"m"
"Bero",2006,"m"
"Berri",2010,"m"
"Berry",2017,"m"
"Berry",2014,"w"
"Bert",2016,"m"
"Bertie",2016,"m"
"Bertie",2012,"m"
"Bertil",2008,"m"
"Beryll (Mithras)",2008,"w"
"Bes",2020,"w"
"Bessy",2007,"w"
"Bessy",2008,"w"
"Bessy",2008,"w"
"Beta",2017,"w"
"Beti",2011,"w"
"Betsy",2015,"w"
"Betta",2012,"w"
"Betty",2015,"w"
"Betty-Fibi von der Landruh",2017,"w"
"Bety",2019,"w"
"Bexter Ori",2020,"m"
"Beyli",2019,"w"
"Bhanu",2014,"m"
"Bia",2016,"w"
"Bianca",2007,"w"
"Bianca",2018,"w"
"Bianca",2012,"w"
"Bianca",2012,"w"
"Bianca",2016,"w"
"Biancaneve",2015,"w"
"Bianka",2019,"w"
"Biba June",2015,"w"
"Bibi",2007,"w"
"Bibi Girl Jilli",2012,"w"
"Biblo",2018,"m"
"Bica",2017,"w"
"Bica",2011,"w"
"Bicco",2016,"m"
"Bida",2008,"w"
"Biddo",2013,"m"
"Bidu",2011,"m"
"Biene",2015,"w"
"Bigby",2014,"m"
"Bigna",2012,"w"
"Bijou",2020,"m"
"Bijou",2019,"w"
"Bijou",2017,"w"
"Bijou",2012,"w"
"Bijou",2013,"w"
"Bijoux",2005,"w"
"Bijoux",2013,"w"
"Biju",2005,"m"
"Bilbo Potter Bulini",2015,"m"
"Bilboul",2014,"m"
"Bilko",2016,"m"
"Bill (Cougard)",2007,"m"
"Billabong",2012,"m"
"Billi",2013,"w"
"Billi",2005,"m"
"Billie",2020,"w"
"Billie",2019,"w"
"Billie",2013,"w"
"Billie",2017,"w"
"Billie (Olena)",2020,"w"
"Billie Bom",2919,"w"
"Billie Red Starlight Girl von",2020,"w"
"Billy",2017,"m"
"Billy",2012,"m"
"Billy",2003,"m"
"Billy",2019,"m"
"Billy",2006,"m"
"Billy",2016,"m"
"Billy Bär Kyuss",2011,"w"
"Billy The Cockapoo",2020,"m"
"Billy-Lulu",2015,"m"
"Bimba",2019,"w"
"Bimi",2019,"w"
"Bina",2011,"w"
"Bingo",2013,"m"
"Bino",2019,"m"
"Binx",2015,"m"
"Bion Blues",2013,"m"
"Biondo",2012,"m"
"Biranda",2014,"w"
"Birba",2004,"w"
"Birba",2007,"w"
"Birba (Queudolin)",2008,"w"
"Bircan du bosquet des muguets",2015,"m"
"Birdie",2018,"w"
"Birdy",2011,"m"
"Birillo",2008,"m"
"Birla (Herder little Devil's)",2016,"w"
"Biscotto (Astra)",2016,"w"
"Bishop",2011,"m"
"Bisou",2011,"w"
"Bisou",2010,"w"
"Bize",2005,"m"
"Björn",2017,"m"
"Black",2020,"m"
"Black",2018,"m"
"Black Betty Gina Coco",2019,"w"
"Black BettyGina Alaya",2019,"w"
"Black Hamlet B For Blueberry H",2014,"m"
"Black Hamlet Call Me Cheeky",2018,"w"
"Black Shadow",2010,"m"
"Black-3",2017,"m"
"Blackita",2019,"w"
"Blacky",2019,"m"
"Blacky",2005,"m"
"Blacky",2017,"m"
"Blacky",2012,"m"
"Blacky",2006,"m"
"Blacky",2013,"m"
"Blacky",2015,"m"
"Blacky",2011,"m"
"Blacky",2014,"m"
"Blacky (Leda)",2013,"w"
"Blacky Emil vom Allgäu Land",2017,"m"
"Blake",2007,"m"
"Blake",2017,"m"
"Blaky",2018,"m"
"Blanca",2007,"w"
"Blanca",2015,"w"
"Blanca Joy",2020,"w"
"Blanche",2018,"w"
"Blanco",2020,"m"
"Blanco",2006,"m"
"Blanquita",2018,"w"
"Blazing Sun Kylie",2012,"w"
"Bless",2016,"w"
"Bleyd Nox",2015,"m"
"Bliss",2016,"m"
"Blue",2018,"w"
"Blue",2019,"m"
"Blue",2018,"w"
"Blue",2018,"m"
"Blue",2019,"m"
"Blue",2020,"m"
"Blue",2020,"m"
"Blue",2020,"m"
"Blue",2012,"m"
"Blue Cheese",2017,"w"
"Blue Sky",2014,"w"
"Blueboy",2012,"m"
"Blues",2007,"m"
"Blues",2007,"m"
"Bluette",2017,"w"
"Bo",2016,"w"
"Bo",2019,"m"
"Bo (BBY)",2012,"m"
"Boa Zeus",2014,"m"
"Bob",2017,"m"
"Bob",2016,"m"
"Bobbi",2009,"m"
"Bobbi",2012,"m"
"Bobbie",2016,"m"
"Bobby",2006,"m"
"Bobby",2005,"m"
"Bobby",2014,"m"
"Bobby",2011,"m"
"Bobby",2014,"m"
"Bobby",2014,"m"
"Bobby",2010,"m"
"Bobby",2017,"m"
"Bobby",2008,"m"
"Bobby",2012,"m"
"Bobby",2017,"m"
"Bobby",2011,"m"
"Bobby",2017,"m"
"Bobby",2017,"w"
